fips,name,pop_total,labor_force_total,emp_to_total_ratio_total,unemp_rate_total,pop_male,labor_force_male,emp_to_total_ratio_male,unemp_rate_male,pop_female,labor_force_female,emp_to_total_ratio_female,unemp_rate_female,acs_year,acs_dataset
22001,"Acadia Parish, Louisiana",31628,67.5,62.8,7.0,15237,75.1,70.4,6.1,16391,60.5,55.7,8.0,2023,acs5_subject
22003,"Allen Parish, Louisiana",14037,55.1,47.9,13.1,8886,49.0,42.2,13.8,5151,65.6,57.5,12.3,2023,acs5_subject
22005,"Ascension Parish, Louisiana",75365,81.0,77.0,4.5,36946,87.8,83.5,3.9,38419,74.5,70.7,5.1,2023,acs5_subject
22007,"Assumption Parish, Louisiana",11742,72.2,68.3,4.9,5391,76.5,71.7,5.3,6351,68.5,65.5,4.4,2023,acs5_subject
22009,"Avoyelles Parish, Louisiana",22236,61.6,57.2,6.6,11396,62.2,58.7,4.8,10840,60.8,55.6,8.6,2023,acs5_subject
22011,"Beauregard Parish, Louisiana",20691,69.1,62.5,7.6,10776,76.2,68.6,6.9,9915,61.5,56.0,8.4,2023,acs5_subject
22013,"Bienville Parish, Louisiana",6927,59.6,55.8,6.3,3399,67.7,64.5,4.8,3528,51.8,47.4,8.3,2023,acs5_subject
22015,"Bossier Parish, Louisiana",74849,75.7,65.8,5.2,37583,81.5,68.0,4.8,37266,69.8,63.6,5.6,2023,acs5_subject
22017,"Caddo Parish, Louisiana",129649,71.2,65.1,7.9,61429,72.9,66.4,7.5,68220,69.7,63.8,8.3,2023,acs5_subject
22019,"Calcasieu Parish, Louisiana",119120,73.1,69.2,5.1,58521,78.7,74.5,5.0,60599,67.8,64.0,5.4,2023,acs5_subject
22021,"Caldwell Parish, Louisiana",5598,61.5,55.2,10.1,3131,70.3,63.9,8.8,2467,50.5,44.2,12.4,2023,acs5_subject
22023,"Cameron Parish, Louisiana",2914,72.4,71.7,1.0,1470,87.1,86.7,0.5,1444,57.4,56.4,1.8,2023,acs5_subject
22025,"Catahoula Parish, Louisiana",5008,51.4,47.4,7.4,2770,44.3,39.8,9.8,2238,60.1,56.9,5.3,2023,acs5_subject
22027,"Claiborne Parish, Louisiana",7693,48.5,45.8,5.0,4397,38.3,35.7,5.5,3296,62.1,59.2,4.6,2023,acs5_subject
22029,"Concordia Parish, Louisiana",10124,55.0,49.1,10.7,5385,53.8,45.9,14.6,4739,56.3,52.6,6.5,2023,acs5_subject
22031,"De Soto Parish, Louisiana",14964,66.0,62.2,5.6,7199,75.4,69.6,7.4,7765,57.2,55.3,3.4,2023,acs5_subject
22033,"East Baton Rouge Parish, Louisiana",263871,77.5,71.9,7.2,126663,82.2,75.8,7.7,137208,73.1,68.2,6.6,2023,acs5_subject
22035,"East Carroll Parish, Louisiana",4245,44.8,39.5,11.9,2664,29.8,26.3,11.8,1581,70.1,61.7,12.0,2023,acs5_subject
22037,"East Feliciana Parish, Louisiana",11862,55.9,52.2,6.3,6940,46.4,43.4,6.1,4922,69.2,64.7,6.5,2023,acs5_subject
22039,"Evangeline Parish, Louisiana",18201,65.8,60.0,8.7,9450,70.1,61.8,11.6,8751,61.2,58.1,5.1,2023,acs5_subject
22041,"Franklin Parish, Louisiana",10409,63.4,58.8,7.3,4853,65.8,61.7,6.4,5556,61.4,56.4,8.1,2023,acs5_subject
22043,"Grant Parish, Louisiana",13571,54.8,52.1,4.2,8226,51.8,48.7,4.5,5345,59.5,57.2,3.9,2023,acs5_subject
22045,"Iberia Parish, Louisiana",38717,70.4,66.2,5.9,19096,78.4,72.8,7.2,19621,62.5,59.7,4.4,2023,acs5_subject
22047,"Iberville Parish, Louisiana",17943,65.4,61.0,5.8,9342,65.9,61.7,4.6,8601,64.9,60.2,7.1,2023,acs5_subject
22049,"Jackson Parish, Louisiana",8470,56.8,53.5,5.9,4520,57.3,54.4,5.0,3950,56.3,52.4,6.8,2023,acs5_subject
22053,"Jefferson Davis Parish, Louisiana",18025,70.5,67.6,4.1,8950,76.8,75.0,2.3,9075,64.2,60.3,6.1,2023,acs5_subject
22051,"Jefferson Parish, Louisiana",248580,78.5,73.5,5.7,121485,81.6,76.6,5.2,127095,75.5,70.5,6.3,2023,acs5_subject
22059,"LaSalle Parish, Louisiana",8996,65.6,60.3,8.0,5267,71.5,67.5,5.5,3729,57.3,50.2,12.4,2023,acs5_subject
22055,"Lafayette Parish, Louisiana",145691,77.4,73.3,5.0,71443,82.6,77.0,6.2,74248,72.5,69.9,3.7,2023,acs5_subject
22057,"Lafourche Parish, Louisiana",56175,70.8,67.2,5.0,27935,75.0,71.3,4.7,28240,66.6,63.0,5.3,2023,acs5_subject
22061,"Lincoln Parish, Louisiana",28303,68.2,65.4,3.9,13947,70.2,67.5,3.6,14356,66.1,63.3,4.2,2023,acs5_subject
22063,"Livingston Parish, Louisiana",85154,74.3,71.3,3.7,42057,82.6,79.0,3.8,43097,66.3,63.8,3.7,2023,acs5_subject
22065,"Madison Parish, Louisiana",5297,47.5,45.3,4.5,2537,48.1,45.7,4.8,2760,47.0,45.0,4.2,2023,acs5_subject
22067,"Morehouse Parish, Louisiana",13713,66.9,60.3,9.7,6606,66.9,60.3,9.7,7107,66.9,60.3,9.7,2023,acs5_subject
22069,"Natchitoches Parish, Louisiana",20320,66.6,62.4,6.1,9881,67.6,62.2,7.7,10439,65.7,62.7,4.6,2023,acs5_subject
22071,"Orleans Parish, Louisiana",229861,74.6,68.3,7.6,107730,76.3,68.6,8.8,122131,73.0,68.1,6.5,2023,acs5_subject
22073,"Ouachita Parish, Louisiana",90734,72.7,68.2,6.1,43895,73.2,68.4,6.4,46839,72.3,68.0,5.9,2023,acs5_subject
22075,"Plaquemines Parish, Louisiana",13626,77.2,68.0,4.5,7157,83.9,70.4,4.7,6469,69.8,65.2,4.2,2023,acs5_subject
22077,"Pointe Coupee Parish, Louisiana",11188,71.2,64.8,8.9,5560,74.9,64.4,13.8,5628,67.6,65.3,3.5,2023,acs5_subject
22079,"Rapides Parish, Louisiana",71940,72.7,68.4,5.0,34979,76.2,71.2,5.4,36961,69.3,65.9,4.5,2023,acs5_subject
22081,"Red River Parish, Louisiana",4052,61.6,59.8,2.8,2002,71.2,69.6,2.2,2050,52.2,50.3,3.6,2023,acs5_subject
22083,"Richland Parish, Louisiana",11221,65.3,60.0,8.0,5575,64.5,58.5,9.2,5646,66.0,61.4,6.9,2023,acs5_subject
22085,"Sabine Parish, Louisiana",11708,62.1,58.1,6.2,5774,72.0,68.3,4.7,5934,52.5,48.1,8.3,2023,acs5_subject
22087,"St. Bernard Parish, Louisiana",25839,72.0,66.5,7.2,12531,76.0,69.1,8.6,13308,68.1,64.0,5.8,2023,acs5_subject
22089,"St. Charles Parish, Louisiana",30450,78.7,73.6,6.3,14862,81.8,75.6,7.2,15588,75.8,71.7,5.3,2023,acs5_subject
22091,"St. Helena Parish, Louisiana",5980,73.5,59.7,18.8,2701,75.6,59.2,21.6,3279,71.8,60.1,16.3,2023,acs5_subject
22093,"St. James Parish, Louisiana",11247,75.9,72.0,5.1,5436,74.9,70.1,6.4,5811,76.8,73.8,3.9,2023,acs5_subject
22095,"St. John the Baptist Parish, Louisiana",24386,75.3,68.6,8.8,11845,76.2,67.9,10.7,12541,74.5,69.4,6.9,2023,acs5_subject
22097,"St. Landry Parish, Louisiana",44602,66.0,62.0,5.6,21625,70.8,65.9,6.0,22977,61.5,58.3,5.1,2023,acs5_subject
22099,"St. Martin Parish, Louisiana",29620,72.6,68.7,4.8,14599,77.5,71.0,7.3,15021,67.7,66.4,2.0,2023,acs5_subject
22101,"St. Mary Parish, Louisiana",26710,67.9,63.6,5.9,13459,72.9,68.2,5.9,13251,62.8,59.0,6.0,2023,acs5_subject
22103,"St. Tammany Parish, Louisiana",150856,78.6,74.0,4.6,73811,84.1,78.2,5.0,77045,73.3,70.0,4.2,2023,acs5_subject
