variable,label
S2401_C01_001E,Estimate!!Total!!Civilian employed population 16 years and over
S2401_C01_002E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:"
S2401_C01_003E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
S2401_C01_004E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
S2401_C01_005E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
S2401_C01_006E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
S2401_C01_007E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
S2401_C01_008E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
S2401_C01_009E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
S2401_C01_010E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
S2401_C01_011E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
S2401_C01_012E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
S2401_C01_013E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations"
S2401_C01_014E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations"
